model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,chance,seed_mean_final_accuracy,clopper_pearson_lower_95
Hard-projected (ours),8192,20260528,50,50,0,1.0,0.4293837547302246,cuda,1.0,0.008333333333333333,,
GRU native readout,8192,20260528,1,50,49,0.02,0.5779800415039062,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),65536,20260528,50,50,0,1.0,3.3276140689849854,cuda,1.0,0.008333333333333333,,
GRU native readout,65536,20260528,0,50,50,0.0,4.6587700843811035,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),512,20260529,50,50,0,1.0,0.03643918037414551,cuda,1.0,0.008333333333333333,,
GRU native readout,512,20260529,0,50,50,0.0,0.03820919990539551,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),2048,20260529,50,50,0,1.0,0.10414361953735352,cuda,1.0,0.008333333333333333,,
GRU native readout,2048,20260529,1,50,49,0.02,0.14610648155212402,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),8192,20260529,50,50,0,1.0,0.4135284423828125,cuda,1.0,0.008333333333333333,,
GRU native readout,8192,20260529,0,50,50,0.0,0.5781903266906738,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),65536,20260529,50,50,0,1.0,3.347891092300415,cuda,1.0,0.008333333333333333,,
GRU native readout,65536,20260529,0,50,50,0.0,4.71160101890564,cuda,1.0,0.008333333333333333,,
GRU native readout,512,AGGREGATE,3,500,497,0.006,,,,0.008333333333333333,0.006,0.0012390575435407506
GRU native readout,2048,AGGREGATE,4,500,496,0.008,,,,0.008333333333333333,0.008,0.0021839081083421838
GRU native readout,8192,AGGREGATE,3,500,497,0.006,,,,0.008333333333333333,0.006,0.0012390575435407506
GRU native readout,65536,AGGREGATE,0,250,250,0.0,,,,0.008333333333333333,0.0,0.0
Hard-projected (ours),512,AGGREGATE,500,500,0,1.0,,,,0.008333333333333333,1.0,0.9926493899480923
Hard-projected (ours),2048,AGGREGATE,500,500,0,1.0,,,,0.008333333333333333,1.0,0.9926493899480923
Hard-projected (ours),8192,AGGREGATE,500,500,0,1.0,,,,0.008333333333333333,1.0,0.9926493899480923
Hard-projected (ours),65536,AGGREGATE,250,250,0,1.0,,,,0.008333333333333333,1.0,0.9853528113643196
